areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-07-10,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-10,VOC-22APR-03 (Omicron BA.4),113040.0,9.5
E12000001,North East,region,2022-07-10,VOC-22APR-04 (Omicron BA.5),113040.0,83.3
E12000001,North East,region,2022-07-10,VOC-22JAN-01 (Omicron BA.2),113040.0,1.4
E12000001,North East,region,2022-07-03,Other,112693.0,3.3
E12000001,North East,region,2022-07-03,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-03,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-03,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-03,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-07-03,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-03,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-03,VOC-22APR-03 (Omicron BA.4),112693.0,15.3
E12000001,North East,region,2022-07-03,VOC-22APR-04 (Omicron BA.5),112693.0,78.7
E12000001,North East,region,2022-07-03,VOC-22JAN-01 (Omicron BA.2),112693.0,2.8
E12000001,North East,region,2022-06-26,Other,112294.0,3.0
E12000001,North East,region,2022-06-26,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-06-26,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-26,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-26,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-06-26,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-06-26,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-26,VOC-22APR-03 (Omicron BA.4),112294.0,16.7
E12000001,North East,region,2022-06-26,VOC-22APR-04 (Omicron BA.5),112294.0,74.4
E12000001,North East,region,2022-06-26,VOC-22JAN-01 (Omicron BA.2),112294.0,5.9
E12000001,North East,region,2022-06-19,Other,111822.0,1.9
E12000001,North East,region,2022-06-19,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-06-19,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-19,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-19,V-22JUL-01 (Omicron BA.2.75),111822.0,0.2
E12000001,North East,region,2022-06-19,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-06-19,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-19,VOC-22APR-03 (Omicron BA.4),111822.0,19.0
E12000001,North East,region,2022-06-19,VOC-22APR-04 (Omicron BA.5),111822.0,67.7
E12000001,North East,region,2022-06-19,VOC-22JAN-01 (Omicron BA.2),111822.0,11.2
E12000001,North East,region,2022-06-12,Other,111302.0,1.0
E12000001,North East,region,2022-06-12,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-06-12,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-12,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-12,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-06-12,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-06-12,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-12,VOC-22APR-03 (Omicron BA.4),111302.0,15.9
E12000001,North East,region,2022-06-12,VOC-22APR-04 (Omicron BA.5),111302.0,58.0
E12000001,North East,region,2022-06-12,VOC-22JAN-01 (Omicron BA.2),111302.0,25.1
E12000001,North East,region,2022-06-05,Other,111007.0,1.2
E12000001,North East,region,2022-06-05,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-06-05,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-06-05,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-06-05,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-06-05,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-06-05,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-06-05,VOC-22APR-03 (Omicron BA.4),111007.0,16.7
E12000001,North East,region,2022-06-05,VOC-22APR-04 (Omicron BA.5),111007.0,42.5
E12000001,North East,region,2022-06-05,VOC-22JAN-01 (Omicron BA.2),111007.0,39.6
E12000001,North East,region,2022-05-29,Other,110762.0,1.8
E12000001,North East,region,2022-05-29,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-29,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-29,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-29,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-05-29,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-29,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-05-29,VOC-22APR-03 (Omicron BA.4),110762.0,11.8
E12000001,North East,region,2022-05-29,VOC-22APR-04 (Omicron BA.5),110762.0,16.4
E12000001,North East,region,2022-05-29,VOC-22JAN-01 (Omicron BA.2),110762.0,70.0
E12000001,North East,region,2022-05-22,Other,110652.0,0.8
E12000001,North East,region,2022-05-22,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-22,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-05-22,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-05-22,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-05-22,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-05-22,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-05-22,VOC-22APR-03 (Omicron BA.4),110652.0,5.3
E12000001,North East,region,2022-05-22,VOC-22APR-04 (Omicron BA.5),110652.0,8.4
E12000001,North East,region,2022-05-22,VOC-22JAN-01 (Omicron BA.2),110652.0,85.5
E12000001,North East,region,2022-05-15,Other,110521.0,0.6
E12000001,North East,region,2022-05-15,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-05-15,V-21APR-02 (Delta B.1.617.2),0.0,0.0
